AAA.TO	Allana Potash Corp
CPX.PR.A.TO	Capital Power Corporation Pref Series 1
CQE.TO	Cequence Energy Ltd.
CR.TO	Crew Energy Inc
CRG.TO	Corona Gold Corp
CRJ.TO	Claude Res
CRJ.WT.TO	Claude Resources Inc. Wts
CRK.TO	Crocodile Gold Corp
CRK.WT.TO	Crocodile Gold Corp Warrants
CRP.TO	Ceres Global Ag Corp.
CRQ.TO	Isharescanadian Fundamental Index Fd
CRQ.A.TO	Ishares Canadian Fundamental Index Fd Ac
CRR.DB.TO	Crombie Reit 7.0% Debs
CRR.DB.B.TO	Crombie Reit 6.25 Debs
CRR.DB.C.TO	Crombie Reit 5.75 Debs
CRR.UN.TO	Crombie Real Estate Investment Trust
CRW.UN.TO	Cinram International Income Fund
CRY.TO	Cryptologic Inc
CS.TO	Capstone Mining Corp.
CSA.TO	Commercial Solutions Inc.
CSB.UN.TO	Canadian Banc Capital Securities Trust
CSD.TO	Claymore Adv Short Duration Hi Inc ETF
CSD.A.TO	Claymore Adv Sh Duration Hi Inc ETF Adv
CSD.U.TO	Claymore Short Duration Hi Inc ETF
CSD.V.TO	Claymore Short Duration Hi Inc ETF Adv
CSE.TO	Capstone Infrastructure Corp
CSE.DB.A.TO	Capstone Infrastructure 6.5 Pct Debs
CSE.PR.A.TO	Capstone Infrastructure Corp Pref A
CSF.TO	The Cash Store Financial Services Inc.
CSH.DB.B.TO	Chartwell Seniors Reit 5.70 Pct Debs
CSH.R.TO	Chartwell Seniors Housing Reit Sub Rcpt
CSH.UN.TO	Chartwell Seniors Housing Rl Estate
CSI.TO	Colossus Minerals Inc.
CSI.NT.TO	Colossus Minerals Inc Gold Linked Notes
CSI.WT.A.TO	Colossus Minerals Inc Warrants
CSR.UN.TO	Canoe Strategic Resources In Fd Units
CSS.TO	Contrans Group Inc.
CSU.TO	Constellation Software Inc.
CSY.TO	Can 60 Income Corp
CTA.TO	Crocotta Energy Inc.
CTC.TO	Canadian Tire Corporation Limited
CTC.A.TO	Canadian Tire Corporation Cl. A Nv
CTF.UN.TO	Citadel Income Fund
CTU.A.TO	Le Chateau Inc. Cl A. Sv
CTY.TO	Calian Technologies Ltd.
CU.TO	Canadian Utilities Ltd. Cl.A Nv
CU.PR.A.TO	Canadian Utilities Ltd Pr Series W
CU.PR.B.TO	Canadian Utilities Ltd Pr Series X
CU.PR.C.TO	Canadian Utilities Limited Pref Ser C
