AAA.TO	Allana Potash Corp
RY.PR.C.TO	Royal Bank Of Can. First Pref. Series Ac
RY.PR.D.TO	RBC First Pref Shares Series Ad
RY.PR.E.TO	RBC Non-Cum First Pr Shs. Series Ae
RY.PR.F.TO	RBC Non-Cum First Pref Series Af
RY.PR.G.TO	RBC Non-Cum First Pr Series Ag
RY.PR.H.TO	Royal Bank First Pref Shares Series Ah
RY.PR.I.TO	Royal Bankpref Series Aj
RY.PR.L.TO	RBC Non Com 5-Year Srs Al
RY.PR.N.TO	RBC First Pref Shares Series An
RY.PR.P.TO	RBC First Preffered Series Ap
RY.PR.R.TO	RBC First Prf Shares Series Ar
RY.PR.T.TO	RBC First Pref. Series At
RY.PR.W.TO	RBC 4.90% Ser. W
RY.PR.X.TO	RBC First Pref. Sh. Series Av
RY.PR.Y.TO	RBC First Pref Sh. Series Ax
RYL.TO	Royal Host Inc
RYL.DB.B.TO	Royal Host Inc. 6.00 Debs
RYL.DB.C.TO	Royal Host Inc. 6.25 Debs
RYL.DB.D.TO	Royal Host Inc. 5.90 Debs
S.TO	Sherritt Intl Rv
SAC.TO	South American Silver Corp.
SAM.TO	Starcore International Mines Ltd.
SAP.TO	Saputo Inc.
SAS.TO	St. Andrew Goldfields Ltd.
SAU.TO	St Augustine Gold And Copper Ltd
SBB.TO	Sabina Gold And Silver Corp
SBC.TO	Brompton Split Banc Corp. Cl A
SBC.PR.A.TO	Brompton Split Banc Corp. Preferred
SBI.TO	Serabi Mining Plc Ord
SBN.TO	S Split Corp. Cl.A
SBN.PR.A.TO	S Split Corp. Pref A
SBR.TO	Silver Bear Resources Inc.
SBT.U.TO	Silver Bullion Trust Units USD
SBT.UN.TO	Silver Bullion Trust Units
SC.TO	Shoppers Drug Mart Corporation
SCC.TO	Sears Canada Inc
SCI.UN.TO	Sciti Rocs Trust
SCL.A.TO	Shawcor Ltd. Cl.A Sv
SCL.B.TO	Shawcor Ltd. Cl.B Mv
SCP.TO	Sprott Resourcecorp
SCR.TO	Score Media Inc. Cl.A Sv
SCS.TO	Second Wave Petroleum Inc
SCU.TO	The Second Cup Ltd.
SDF.UN.TO	Signature Diversified Value Trust
SDI.TO	Spectral Diagnos
SDY.TO	Strad Energy Services Ltd
SEA.TO	Seabridge Gold Inc.
SEC.TO	Senvest Capital
SEQ.TO	Shoreline Energy Corp
SES.TO	Secure Energy Services Inc.
SFI.UN.TO	Sprott Strategic Fixed Income Fund
SGF.TO	Shore Gold Inc.
SGQ.TO	Southgobi Resources Ltd
SGR.TO	San Gold Corp
SGT.UN.TO	Sentry Select Global Index Trust
SGY.TO	Surge Energy Inc
SHR.TO	Sure Energy Inc.
SHS.TO	Sophiris Bio Inc
SIA.U.TO	Skylon International Advantage Tr
SIA.UN.TO	Skylon International Advantage Tr
SIF.UN.TO	Strategic Income Allocation Fund Units
SII.TO	Sprott Inc.
SIL.TO	Sprott Resource Lending Corp
SIN.UN.TO	Sciti Trust
SIS.TO	Savaria Corp.
SJ.TO	Stella Jones Inc
SJR.B.TO	Shaw Communications Inc. Cl.B Nv
SJR.PR.A.TO	Shaw Communications Inc Preferred Ser A
SKA.UN.TO	Skylon All Asset Trust
SKG.UN.TO	Skylon Growth & Income Fund
SKL.TO	Skope Energy Inc.
SLF.TO	Sun Life Financial Inc.
SLF.PR.A.TO	Sun Life Financial Inc Pr. Series 1
SLF.PR.B.TO	Sun Life Financial Inc. Cl A Pr Ser 2
SLF.PR.C.TO	Sunlife Financial Inc. Cl A Prf Ser 3
SLF.PR.D.TO	Sun Life Financial Inc. Cl A Pfd Ser 4
SLF.PR.E.TO	Sun Life Financial Inc. Cl A Prf Ser 5
SLF.PR.F.TO	Sun Life Financial Inc. Prf Series 6R
SLF.PR.G.TO	Sun Life Financial Inc. Ser 8R
SLF.PR.H.TO	Sun Life Financial Inc Pref H
SLF.PR.I.TO	Sun Life Financial Inc Pref Ser 12R
SLR.TO	Solitario Exploration & Royalty Corp.
SLS.TO	Sl Split Corp. Capital Shares
SLS.PR.A.TO	Slsplit Corp. Preferred Shares A
SLW.TO	Silver Wheaton Corp.
SLW.WT.U.TO	Silver Wheaton Corp. Wts USD
SLX.TO	Silvermex Resources Inc.
SMA.TO	Smart Technologies Inc.
SMF.TO	Semafo J
SMX.TO	Smtc Manufacturing Corp
SNC.TO	Snc-Lavalin Sv
SO.TO	Softchoice Corp.
SOQ.TO	Sonde Resources Corp
SOY.TO	Sunopta Inc.
SPB.TO	Superior Plus Corp.
SPB.DB.B.TO	Superior Plus 5.75% Debs B
SPB.DB.C.TO	Superior Plus Corp 5.85% Debs C
SPB.DB.D.TO	Superior Plus Corp. 7.5 Debs
SPB.DB.E.TO	Superior Plus Corp. 5.75 Debs
SPB.DB.F.TO	Superior Plus Corp. 6.0 Pct Debs
SPB.DB.G.TO	Superior Plus Corp 7.5 Uns Sub Debs G
SPD.TO	Silver Predator Corp
SPM.TO	Scorpio Mining Corp.
SPO.UN.TO	Skylon Global Capital Yield Trust Ii
SPT.TO	Stockport Exploration Inc
SPZ.TO	Sprott Power Corp
SQP.TO	Strongco Corporation
SQZ.TO	Serica Energy Plc
SRF.TO	Sun-Rype Products
SRQ.DB.TO	Scott S Reit 7.15% Debs Series 2007
SRQ.DB.A.TO	Scotts Reit 7.75 Series 2009 Debs
SRQ.DB.B.TO	Scotts Reit 8.00 Conv Uns Sub Deb
SRQ.UN.TO	Scott S Real Estate Inv Trust.
SRU.TO	Starfield Resources Inc.
SRV.UN.TO	Sir Royalty Income Fund
SSF.UN.TO	Symphony Floating Rate Sr Loan Fd
SSO.TO	Silver Standard Res Inc.
SST.TO	Ipath US Treasury Steepener Etn
SST.U.TO	Ipath US Treasury Steepener Etn
ST.TO	Stonegate Agricom Ltd
ST.WT.TO	Stonegate Agricom Ltd Wts
STB.TO	Student Transportation Inc.
STB.DB.A.TO	Student Transportation Inc. 7.5 Pct Debs
STB.DB.B.TO	Student Transportation Inc. 6.75 Dbs.
STB.DB.U.TO	Student Transportation Inc 6.25 Pct Debs
STM.TO	Strathmore Minerals Corp.
STN.TO	Stantec Inc
STNC.TO	S&P/Tsx North American Pref Stock Index
STNU.TO	S&P/Tsx North American Pref Stock Index
STO.TO	Spartan Oil Corp
STP.TO	Southern Pacific Resource Corp
STP.DB.TO	Southern Pacific Res. Corp. 6.0 Pct Debs
STQ.TO	Income Streams 111 Corp Capital Shares
STQ.E.TO	Income Streams 111 Corp Equity Shares
SU.TO	Suncor Energy Inc.
SUE.TO	Sulliden Gold Corporation Ltd
SUM.TO	Solium Capital Inc.
SVB.TO	Silver Bull Resources Inc
SVC.TO	Sandvine Corporation
SVM.TO	Silvercorp Metals Inc.
SVR.C.TO	Claymore Silver Bullion Trust
SVR.UN.TO	Claymore Silver Bullion Trust Units
SVY.TO	Savanna Energy Services Corp
SW.TO	Sierra Wireless
SWC.U.TO	Stillwater Mining Company
SWD.TO	Sunward Resources Ltd
SWI.TO	Swisher Hygiene Inc
SWP.UN.TO	Salida Wealth Preservation Fund
SWY.TO	Stornoway Diamond Corp.
SWY.WT.TO	Stornoway Diamond Corporation Wts
SXC.TO	Sxc Health Solutions Corp.
SXI.TO	Synex Intl Inc
SXP.TO	Supremex Inc.
T.TO	Telus Corporation
T.A.TO	Telus Corporation Nv
TA.TO	Transalta Corporation
TA.PR.D.TO	Transalta Corp Prfd Series A
TA.PR.F.TO	Transalta Corp Pref Series C
TAO.TO	Tag Oil Ltd
TBE.TO	Twin Butte Energy Ltd.
TBL.TO	Taiga Building Products Ltd.
TBL.NT.TO	Taiga Building Products Ltd. 14% Debs
TBP.UN.TO	T Boone Pickens Energy Fund
TC.TO	Tucows Inc Com Npv
TCA.PR.X.TO	Transcanada Corp. Series U
TCA.PR.Y.TO	Transcanada Corp Series Y
TCK.A.TO	Teck Resources Limited Cl A
TCK.B.TO	Teck Resources Limited Cl B
TCL.A.TO	Transcontinental Inc. Cl A Sv
TCL.B.TO	Transcontinental Inc. Cl B Mv
TCL.PR.D.TO	Transcontinental Inc Pref D
TCM.TO	Thompson Creek Metals Company Inc.
TCN.TO	Tricon Capital Group Inc
TCP.TO	Trident Performance Corp Class A
TCS.TO	Tecsys Inc J
TCT.UN.TO	Top 10 Canadian Financial Trust
TCW.TO	Trican Well
TCZ.TO	Trident Performance Corp. Ii
TD.TO	Toronto-Dominion Bank
TD.PR.A.TO	TD Bank Pref Series Aa
TD.PR.C.TO	TD Bank Pref Series Ac
TD.PR.E.TO	TD Bank Pref Series Ae
TD.PR.G.TO	TD Bank Pref Series Ag
TD.PR.I.TO	TD Bank Pref. Series Ai
TD.PR.K.TO	TD Bank Preferred Sh. Series Ak
TD.PR.O.TO	TD Bank Cl. A First Pref. Series O
TD.PR.P.TO	TD Bank Class A Pref Series P.
TD.PR.Q.TO	TD Pref Shares Cl A Series Q
TD.PR.R.TO	TD Bank Preferred Shares Series R
TD.PR.S.TO	TD Bank Ser S Pr
TD.PR.Y.TO	TD Bank Ser Y Pr
TDG.TO	Trinidad Drilling Ltd.
TDS.C.TO	TD Split Inc Class C Capital
TDS.PR.C.TO	TD Split Inc Class C Preferred
TET.TO	Trilogy Energy Corp.
TFI.TO	Transforce Inc.
TFI.DB.TO	Transforce Inc. 6.0 Pct Debs
TFI.DB.A.TO	Transforce Inc 5.65 Pct Debs
TGA.DB.TO	Transglobe Apartment Reit 5.4 Pct Debs
TGA.UN.TO	Transglobe Apartment Reit
TGF.UN.TO	Timbercreek Global Real Estate Fund
TGL.TO	Transglobe Energy Corp
TGL.DB.TO	Transglobe Energy Corp 6 Pct Debs
TGO.TO	Terago Inc.
TGS.TO	Tiger Resources Ltd [The Co.]
TGZ.TO	Teranga Gold Corporation
TH.TO	Theratechnologies
THI.TO	Tim Hortons Inc.
THO.TO	Tahoe Resources Inc
THR.TO	Thundermin J
TI.UN.TO	Terravest Income Fund
TID.TO	Tuscany Intl Drilling Inc
TIH.TO	Toromont Ind
TIL.DB.TO	Tree Island Wire Income Fund Debs
TIL.UN.TO	Tree Island Wire Income Fund
TKM.TO	Tekmira Pharmaceuticals Corporation
TKO.TO	Taseko Mines Ltd.
TLB.TO	Occulogix Inc
TLF.UN.TO	Tech Leaders Income Fund
TLH.TO	Talison Lithium Limited
TLM.TO	Talisman Energy Inc.
TLM.PR.A.TO	Talisman Energy Pref Series 1
TLN.TO	Thallion Pharmaceuticals Inc.
TLO.TO	Talon Metals Corp.
TLV.TO	Powershares Sp Tsx Low Vol Idx ETF
TMA.TO	Trimac Transportation Ltd.
TMB.TO	Tembec Inc.
TMC.TO	Timbercreek Mtg Inv Corp
TML.TO	Treasury Metals Inc.
TMM.TO	Timmins Gold Corp
TNP.TO	Transatlantic Petroleum Ltd.
TNX.TO	Tanzanian Royalty Exploration Corp.
TOOC.TO	TSX Capped Composite Index
TOR.TO	Triausmin Limited
TOS.TO	Tso3 Inc
TOT.TO	Total Energy Services Inc.
TOT.DB.TO	Total Energy Services 5.75 Pct Debs
TOU.TO	Tourmaline Oil Corp
TPK.TO	Ten Peaks Coffee Company Inc
TPL.TO	Tethys Petroleum Limited
TPS.TO	Turbo Power Systems Inc.
TPX.A.TO	Molson Coors Canada Inc. Cl.A Lv
TPX.B.TO	Molson Coors Canada Inc. Cl.B Nv
TRF.UN.TO	First Asset Energy & Resource Fund.
TRH.UN.TO	Triax Diversif Un
TRI.TO	Thomson Reuters Corporation
TRI.PR.B.TO	Thomson Reuters Corporation Prf Srs 2
TRL.TO	Trimel Pharmaceuticals Corp
TRL.WT.TO	Trimel Pharmaceuticals Corporation Wts
TRP.TO	Transcanada Corp.
TRP.PR.A.TO	Transcanada Corp Pref Series 1
TRP.PR.B.TO	Transcanada Corp Pref Series 3
TRP.PR.C.TO	Transcanada Cumul Redeem Pref Ser 5
TRY.TO	Troy Resources Nl
TRZ.A.TO	Transat At Inc
TRZ.B.TO	Transat A.T. Inc. Class B
TS.B.TO	Torstar Corp. Cl. B Nv
TT.TO	Terra Energy Corp.
TTCD.TO	TSX Consumer Discretionary Capped Index
TTCS.TO	TSX Consumer Staples Capped Index
TTEN.TO	TSX Capped Energy Index
TTFS.TO	S&P/Tsx Capped Financial
TTGD.TO	TSX Global Gold Index
TTH.TO	Transition Therapeutics Inc
TTHC.TO	TSX Health Care Capped Index
TTIN.TO	TSX Industrials Capped Index
TTMN.TO	TSX Metals And Mining Capped Index
TTMT.TO	TSX Materials Capped Index
TTRE.TO	S&P/Tsx Capped Real Estate
TTTK.TO	TSX Information Tech Capped Index
TTTS.TO	TSX Telecom Services Capped Index
TTUT.TO	TSX Utilities Capped Index
TV.TO	Trevali Mining Corporation
TV.WT.TO	Trevali Mining Corporation Wts
TVA.B.TO	Tva Group Inc Class'B'Com Npv
TVI.TO	Tvi Pacific J
TWT.TO	20-20 Technologies Inc.
TX.TO	Tuckamore Capital Management Inc
TX.DB.B.TO	Tuckamore Capital Mgmt Inc 8 Pct Debs
TX.DB.C.TO	Tuckamore Cap Mgmt Inc 3.624 Pct Debs
TXBE.TO	S&P/Tsx Equal Weight Global Base Metals
TXBM.TO	S&P/Tsx Globalbase Metals Index
TXCE.TO	TSX Composite Weight Index
TXCT.TO	S&P/Tsx Clean Technology Index
TXCX.TO	TSX Composite Index
TXDC.TO	S&P/Tsx Composite Dividend Index
TXDE.TO	S&P/Tsx Equal Weight Diversified Banks I
TXDV.TO	S&P/Tsx Cdn Div Aristocrats
TXEC.TO	TSX Equity Capped Index
TXEI.TO	S&P/Tsx Equity Income Index
TXEQ.TO	TSX Equity Index
TXEW.TO	S&P/Tsx 60 Equal Weight Index
TXF.TO	Tech Giants Covered Call ETF
TXF.A.TO	Tech Giants Covered Call Cl A ETF
TXFO.TO	TSX Completion Index
TXG.TO	Torex Gold Resources Inc
TXGM.TO	S&P/Tsx Global Mining Index
TXHB.TO	TSX Composite High Beta Index
TXL.TO	Tesla Exploration Ltd
TXLS.TO	S&P/Tsx 60 130/30 Strategy Index
TXLV.TO	TSX Composite Low Volatility
TXMC.TO	S&P/Tsx Megacap Index
TXOE.TO	S&P/Tsx Equal Weight Oil & Gas Index
TXPR.TO	S&P/Tsxpreferred Share Index
TXSC.TO	TSX 60 Capped Index
TXSI.TO	S&P/Tsx 60 Shariah Index
TXSX.TO	TSX 60 Index
TXT.PR.A.TO	Top 10 Split Trust Prf. A
TXT.UN.TO	Top 10 Split Trust
TXTW.TO	TSX Smallcap Index
U.TO	Uranium Participation Corp.
UEX.TO	Uex Corp
UF.UN.TO	Uranium Focused Energy Fund
UFS.TO	Domtar Corporation
UFX.TO	Domtar [Canada] Paper Inc.
ULV.TO	Powershares Sp500 Low Volatility ETF
UMJ.TO	Ursa Major Minerals Incorporated
UNC.TO	United Corp Ltd
UNG.PR.C.TO	Union Gas 5-1/2% Pr
UNS.TO	Uni Select Inc
UNS.DB.TO	Uni Select Inc. 5.90 Pct Debs
URB.TO	Urbana Corporation
URB.A.TO	Urbana Corporation Cl A
URE.TO	Ur-Energy Inc.
URZ.TO	Uranerz Energy Corporation
USA.TO	U.S. Silver Corporation
USA.WT.TO	U.S. Silver Corporation Warrant
USC.TO	United Silver Corp
UST.PR.B.TO	Utility Split Trust Class B Pref
UST.UN.TO	Utility Split Trust
UTC.C.TO	Utility Corp Cl C
UTE.UN.TO	Canadian Utilities Telecom Inc Fd
UUU.TO	Uranium One Inc.
UUU.DB.A.TO	Uranium One 7.5 Pct Conv Debentures
UXE.TO	US Gold Canadian Acquistion Corporation
UXM.TO	Xtf Morningstar US Div Tgt 50 ETF
UXM.A.TO	Xtf Morningstar US Div Tgt 50 Ac ETF
VAA.TO	Vaaldiam Mining Inc
VAB.TO	Vanguard Cdn Aggregate Bond Index ETF
VCE.TO	Vanguard Msci Canada Index ETF
VCM.TO	Vecima Networks Inc.
VEE.TO	Vanguard Msci Emg Mkts Index ETF
VEF.TO	Vanguard Msci Eafe Index ETF Cad-Hedged
VEM.TO	Vena Resources Inc.
VET.TO	Vermilion Energy Inc
VFF.TO	Village Farms International Inc
VGQ.TO	Virginia Mines Inc.
VGZ.TO	Vista Gold Corp
VGZ.WT.U.TO	Vista Gold Corp Wts USD
VIC.TO	Vicwest Inc.
VIC.DB.TO	Vicwest Inc. 6.00 Pct Dbs
VIP.UN.TO	Aston Hill Vip Income Fund
VIX.TO	Ipath Sp500 VIX St Fut CAD Hdg Etn
VIXC.TO	TSX 60 VIX
VLC.TO	Velocity Minerals Ltd.
VLE.TO	Valeura Energy Inc
VLN.TO	Velan Inc. Sv
VNP.TO	5N Plus Inc.
VNR.TO	Valener Inc
VRO.TO	Vero Energy Inc.
VRX.TO	Valeant Pharmaceuticals Intl Inc
VSB.TO	Vanguard Cdn Short-Term Bond Index ETF
VSN.TO	Veresen Inc.
VSN.DB.C.TO	Veresen Inc. 5.75 Pct Debs
VSN.PR.A.TO	Veresen Inc Pref Sh Series A
VT.TO	Viterra Inc.
VTN.TO	Vitran Corp. Inc
VTR.TO	Volta Resources Inc.
VUS.TO	Vanguard Msci US Brd Mkt Idx ETF Cad-Hdg
VVX.TO	Voodoovox Inc
VXSC.TO	TSX Venture Select Index
VXTC.TO	S&P/Tsx Venture 30 Index
VXTU.TO	S&P/Tsx Venture 30 USD Index
VXX.TO	Ipath Sp 500 VIX Short Term Fut Etn
VXX.U.TO	Ipath Sp 500 VIX Short Term Fut Etn
W.PR.H.TO	Westcoast 7 Pr
W.PR.J.TO	Westcoast 8 Pr
WB.TO	Whistler Blackcomb Holdings Inc
WCM.A.TO	Wilmington Capital Mgmt Inc. Cl.A Nv
WCP.TO	Whitecap Resources Inc
WCS.A.TO	Wescast Industries Inc. Cl.A Sv
WDN.TO	Waldron Energy Corporation
WDO.TO	Wesdome Gold Mines Ltd.
WDO.DB.TO	Wesdome Gold Mines Ltd. 7% Debs
WED.TO	Westaim Corp
WEF.TO	Western Forest Products Inc.
WEQ.DB.B.TO	Westernone Eqy Inc Fund 8.5 Conv Debs B
WEQ.DB.C.TO	Westernone Equity Income Fund 8 Pct Debs
WEQ.UN.TO	Westernone Equity Income Fund Units
WES.PR.A.TO	New Western First Pref Ser 3
WES.PR.B.TO	New Western First Pref Ser 4
WES.PR.C.TO	Western Financial Group Inc. Pref Ser 5
WEW.TO	Webtech Wireless Inc.
WFC.TO	Wall Financial
WFE.TO	Westfire Energy Ltd.
WFI.TO	Waterfurnace Renewable Energy Inc.
WFS.TO	World Financial Split Corp
WFS.PR.A.TO	World Financial Split Corp.
WFT.TO	West Fraser Timber
WG.TO	Wgi Heavy Minerals Inc
WGR.TO	Witwatersrand Consolidated Gold Res Ltd
WIN.TO	Wi-Lan Inc
WIX.TO	Winstar Resources Ltd.
WJA.TO	Westjet Airlines Ltd.
WJA.A.TO	Westjet Airlines Ltd. Rv
WJX.TO	Wajax Corporation
WLC.TO	Western Lithium USA Corp
WLT.TO	Walter Energy Inc
WLT.WT.TO	Walter Energy Inc Wts
WM.TO	Wallbridge Mng J
WN.TO	Weston George
WN.PR.A.TO	George Weston Limited Pr Series 1
WN.PR.C.TO	George Weston Ltd. 5.20% Pr. Ser III
WN.PR.D.TO	George Weston Ltd. 5.2% Prf Series IV
WN.PR.E.TO	George Weston Ltd. 4.75% Prf. Series V
WPK.TO	Winpak Ltd
WPT.TO	Westport Innovations Inc.
WPX.TO	Western Potash Corp
WRG.TO	Western Energy Services Corp
WRN.TO	Western Copper Corporation
WRN.WT.TO	Western Copper Corporation Wts
WRX.TO	Wireless Matrix J
WS.TO	Wildcat Silver Corporation
WSA.TO	Western Areas Nl
WTE.UN.TO	Westshore Terminals Inv Corp
WTG.TO	White Tiger Gold Ltd.
WXM.TO	Xtf Morningstar CAD Momentum Idx ETF
WZL.TO	Wenzel Downhole
X.TO	Tmx Group Inc. / Groupe Tmx Inc.
XAL.TO	Ishares Alternatives Comp. Port. Fund
XBB.TO	Ishares Dex Universe Bond Index Fund
XBC.TO	Xebec Adsorption Inc.
XBM.TO	Ishares Sp Tsx Global Base Metals Idx Fd
XBZ.TO	Ishares Msci Brazil Index Fund
XCB.TO	Ishares Dex All Corp Bond Idx Fund
XCG.TO	Ishares Dow Cda Select Gwth Index Fd
XCH.TO	Ishares China Index Fund
XCR.TO	Ishares Conservative Core Port. Fund
XCS.TO	Ishares Sp Tsx Smallcap Index Fund
XCV.TO	Ishares Dow Cda Select Value Index Fd
XDC.TO	Xtreme Coil Drilling Corp.
XDV.TO	Ishares Dow Cda Select Div Fd
XEB.TO	Ishares Jp Morgan USD Emkt Bond Idx Fd
XEG.TO	Ishares Sp Tsx Capped Energy Index Fd
XEI.TO	Ishares Sp Tsx Equity Income Idx Fd
XEM.TO	Ishares Msci Emerging Mkts Idx Fd
XEN.TO	Ishares Jantzi Social Index Fund
XFN.TO	Ishares Sp Tsx Capped Fin Index Fd
XFR.TO	Ishares Dex Float Rate Note Idx Fd
XG.TO	Extorre Gold Mines Limited
XGB.TO	Ishares Dex All Govt Bond Idx Fd
XGC.TO	Ishares Global Comp. Port. Fund
XGD.TO	Ishares Sp Tsx Global Gold Index Fund
XGR.TO	Ishares Growth Core Port. Fund
XHB.TO	Ishares Dex Hybrid Bond Index Fund
XHC.TO	Ishares Sp Global Healthcare Idx Fd
XHG.TO	Star Hedge Managers Corp Ii
XHM.A.TO	Star Hedge Managers Corp. Cl.A
XHY.TO	Ishares US High Yield Bond Index Fund
XIC.TO	Ishares Capped Comp Index Fund
XID.TO	Ishares Sp Cnx Nifty India Index Fund
XIG.TO	Ishares US Ig Corporate Bond Index Fund
XIN.TO	Ishares Msci Eafe Idx Fd CAD Hedged
XIT.TO	Ishares Sp Tsx Capped It Index Fd
XIU.TO	Ishares Sp Tsx 60 Index Fund
XLA.TO	Ishares Sp Latin America 40 Index Fund
XLB.TO	Ishares Dex Long Term Bond Idx Fd
XMA.TO	Ishares Sp Tsx Capped Materials Index Fd
XMC.TO	Xceed Mortgage Corp
XMD.TO	Ishares Sp Tsx Completion Index Fund
XMF.A.TO	M Split Corp Capital Shares
XMF.PR.B.TO	M Split Corp. Class I Pref Shares
XMF.PR.C.TO	M Split Corp. Class Ii Pref Shares
XPF.TO	Ishares Na Preferred Stock Idx Fd
XQQ.TO	Ishares Nasdaq 100 Index Fd CAD ETF
XRB.TO	Ishares Dex Real Return Bond Idx Fd
XRC.TO	Exeter Resource Corporation
XRE.TO	Ishares Sp Tsx Capped Reit Index Fd
XRG.TO	Xinergy Ltd.
XSB.TO	Ishares Dex Short Term Bond Idx Fund
XSH.TO	Ishares Dex St Corp Maple Fund
XSP.TO	Ishares Sp 500 Idx Fd CAD Hedged
XSR.TO	Canadian Satellite Radio Holdings Inc Sv
XST.TO	Ishares Sp Tsx Capped Cons Stpl Idx Fd
XSU.TO	Ishares Russell 2000 Idx Fd CAD Hedged
XTC.TO	Exco Tech
XTD.TO	Tdb Split Corp. Class A Shares
XTD.PR.A.TO	Tdb Split Corp. Priority Equity Sha
XTG.TO	Xtra Gold Resources Corp
XTR.TO	Ishares Diversified Monthly Income Fund
XUT.TO	Ishares Sp Tsx Capped Utilities Idx Fd
XVX.TO	Ishares Sp Tsx Venture Index Fund
XWD.TO	Ishares Msci World Index Fund
XYM.TO	Star Portfolio Corp.
YCM.TO	Commerce Split Corp Capital Shares
YCM.PR.A.TO	Commerce Split Corp Class I Pref Shares
YCM.PR.B.TO	Commerce Split Corp Class Ii Pref Shares
YCM.PR.X.TO	Commerce Split Corp Priority Equity 2010
YCM.X.TO	Commerce Split Corp Cl A 2010
YLO.TO	Yellow Media Inc.
YLO.DB.A.TO	Yellow Media Inc 6.25 Debs
YLO.PR.A.TO	Yellow Media Inc 4.25 Pref Ser 1
YLO.PR.B.TO	Yellow Media Inc 5.0 Pref Ser 2
YLO.PR.C.TO	Yellow Media Inc Pref Ser 3
YLO.PR.D.TO	Yellow Media Inc Pref Ser 5
YM.TO	Ym Biosciences Inc
YNG.TO	Yukon-Nevada Gold Corp.
YOU.UN.TO	Yield Advantage Income Trust
YP.UN.TO	Yieldplus Income Fund
YRB.A.TO	Yorbeau Res A J
YRI.TO	Yamana Gold Inc
ZAG.TO	Bmo Aggregate Bond Index ETF
ZAR.TO	Zargon Oil And Gas Ltd.
ZAR.DB.TO	Zargon Oil And Gas Ltd 6.00 Pct Debs
ZAZ.TO	Zazu Metals Corporation Common Shrs
ZCA.TO	Bmo Agriculture Commodities Index ETF
ZCB.TO	Bmo Base Metals Commodities Index ETF
ZCE.TO	Bmo Energy Commodities Index ETF
ZCH.TO	Bmo China Equity Hedged To CAD Index ETF
ZCL.TO	Zcl Composites
ZCM.TO	Bmo Mid Corporate Bond Index ETF
ZCN.TO	Bmo Dow Jones Cda Titans 60 Index ETF
ZCP.TO	Bmo Precious Metals Comm Idx ETF
ZCS.TO	Bmo Short Corp Bond Index ETF
ZDJ.TO	Bmo DJIA Hedged To CAD Index ETF
ZDM.TO	Bmo Intl Equity Hedged To CAD Index ETF
ZDV.TO	Bmo Canadian Dividend ETF
ZEB.TO	Bmo Sp Tsx Equal Weight Banks Index ETF
ZEF.TO	Bmo Emg Mkt Bond Hdgd To CAD Idx ETF
ZEM.TO	Bmo Emerging Markets Equity Index ETF
ZEO.TO	Bmo Sp Tsx Eql Weight Oil Gas Index ETF
ZFL.TO	Bmo Long Fed Bond Index ETF
ZFM.TO	Bmo Mid Federal Bond Index ETF
ZFS.TO	Bmo Short Federal Bond Index ETF
ZGI.TO	Bmo Global Infrastructure Index ETF
ZHY.TO	Bmo High Yld US Corp Bnd Hdg CAD Idx ETF
ZID.TO	Bmo India Equity Hedged To CAD Index ETF
ZJG.TO	Bmo Junior Gold Index ETF
ZJN.TO	Bmo Junior Gas Index ETF
ZJO.TO	Bmo Junior Oil Index ETF
ZLB.TO	Bmo Low Volatility CAD Equity ETF
ZLC.TO	Bmo Long Corporate Bond Index ETF
ZMI.TO	Bmo Monthly Income ETF
ZMT.TO	Bmo Sptsx Eql Wgt Glb Metal Hed CAD ETF
ZNC.TO	Zincore Metals Inc.
ZPP.TO	Zongshen Pem Power Systems Inc
ZPS.TO	Bmo Short Provincial Bond Index ETF
ZQQ.TO	Bmo Nasdaq 100 Hedged To CAD Index ETF
ZRE.TO	Bmo Equal Weight Reits Index ETF
ZRR.TO	Bmo Real Return Bond Index ETF
ZUB.TO	Bmo Eql Wgt US Bank Hdgd To CAD Idx ETF
ZUE.TO	Bmo US Equity Hedged To CAD Index ETF
ZUH.TO	Bmo Eql Wgt US Hcare Hdgd To CAD Idx ETF
ZUT.TO	Bmo Equal Weight Utilities Index ETF
ZWA.TO	Bmo Covered Call DJIA CAD ETF
ZWB.TO	Bmo Covered Call Canadian Banks ETF
ZWU.TO	Bmo Covered Call Utilities ETF
ZXA.TO	Bmo 2013 Corp Bond Target Mat ETF
ZXB.TO	Bmo 2015 Corp Bond Target Mat ETF
ZXC.TO	Bmo 2020 Corp Bond Target Mat ETF
ZXD.TO	Bmo 2025 Corp Bd Tgt Mat ETF
