CXG.A.V	Clemex Technologies Inc
CXM.V	Carmax Mining Corp
CXO.V	Colorado Resources Ltd
CXP.V	Canadian Phoenix Resources Corp.
CXT.V	Creso Exploration Inc.
CY.V	Cybersurf Cp
CYD.V	Cayden Resources Inc
CYF.V	Canyon Creek Food Co Ltd
CYG.V	Cygam Energy Inc
CYP.V	Cypress Development Corp.
CYQ.H.V	Changyu Medtech Ltd
CYU.V	Columbia Yukon Explorations Inc
CYX.V	Calyx Bio-Venture Inc.
CZ.V	Cassius Ventures Ltd.
CZH.V	Crazy Horse Resources Inc.
CZO.V	Ceapro Inc
CZX.V	Canada Zinc Metals Corp.
CZY.V	Caza Gold Corp.
DAL.V	Dalmac Energy Inc.
DAM.P.V	Damon Capital Corp
DAN.V	D'Arianne Resources Inc.
DAP.U.V	Xpel Technologies Corp
DAR.V	Darwin Resources Corp
DAU.V	Desert Gold Ventures Inc.
DBL.V	Darnley Bay Resources Limited
DBV.V	Doubleview Capital Corp
DCK.V	Donnycreek Energy Inc
DCY.V	Discovery-Corp. Enterprises Inc.
DDN.V	Diamonds North Resources Ltd
DDX.V	Dundarave Resources Inc
DEC.V	Decade Resources Ltd.
DEF.V	Defiance Capital Corp.
DEI.V	Donnybrook Energy Inc
DEQ.V	Deq Systems Corp
DER.V	Desert Eagle Resources Ltd
DES.V	Desmarais Energy Corp
DEV.P.V	Ct Developers Ltd
DEX.V	Detector Exploration Ltd.
DGM.V	Dgm Minerals Corp
DHM.V	Deer Horn Metals Inc
DIB.V	Dia Bras Exploration Inc
DIG.H.V	Digger Resources Inc
DIT.V	Ditem Explorations Inc.
DIV.V	Diversinet Corp
DJI.V	Dajin Resources Corp.
DKC.V	Drako Capital Corp
DLL.V	Deloro Resources Ltd.
DLV.V	Dv Resources Ltd
DMA.V	Diamedica Inc.
DMI.V	Diamcor Mining Inc.
DNI.V	Dni Metals Inc
DNV.V	Dunav Resources Ltd
DNX.V	Dynex Power Inc.
DOD.V	Diamond Frank Exploration Inc.
DOG.V	Blackdog Resources Ltd.
DON.V	Donner Metals Ltd.
DOR.V	Dianor Resources Inc.
DOS.V	Dios Exploration Inc
DOT.V	Dot Resources Ltd.
DOX.V	Dorex Minerals Inc.
DPH.V	Duncan Park Holdings Corp
DRI.V	Dorato Resources Inc.
DRK.V	Derek Oil & Gas Corporation
DRL.V	Diadem Resources Ltd.
DRV.V	Duran Ventures Inc.
DSM.V	Dacha Strategic Metals Inc
DSS.V	Digital Shelf Space Corp.
DSY.V	Destiny Media Technologies Inc.
DTA.V	Dentonia Resources Ltd
DUN.V	Duncastle Gold Corp.
DUR.H.V	Delta Uranium Inc
DV.V	Dolly Varden Silver Corp
DVC.H.V	Devin Energy Corporation
DVN.V	Discovery Ventures Inc
DVT.V	Divestco Inc.
DVV.V	Driven Capital Corp
DXA.V	Doxa Energy Ltd.
DXE.V	Dualex Energy International Inc.
DXX.V	Dxstorm.Com Inc.
DYA.V	Dynamic Fuel Systems Inc.
DYG.V	Dynasty Gold Corp.
DYU.V	Dawson Gold Corp
DZR.V	Diaz Res Ltd
EAG.V	Eagle Hill Exploration Corporation
EAS.V	East Asia Minerals Corp.
EBN.V	Epicore Bionetworks Inc.
EBY.V	Emerald Bay Energy Inc.
EC.V	Ecometals Limited
ECC.V	Ethos Capital Corp
ECR.V	Cartier Resources Inc.
ECX.V	Eastcoal Inc
EDE.V	Edge Resources Inc.
EDG.V	Endurance Gold Corporation
EDU.V	Edleun Group Inc.
EDW.V	Edgewater Exploration Ltd.
EEC.V	88 Capital Corp
EEN.V	Estrella Intl Energy Svcs Ltd
EER.V	Enterprise Energy Resources Ltd
EEV.V	E-Energy Ventures Inc.
EFT.V	Eft Canada Inc
EGC.H.V	E.G. Capital Inc.
EGD.V	Energold Drilling Corp.
EGE.V	Eagle Star Minerals Corp.
EIL.V	Empire Industries Ltd
EKD.V	Epic Data International Inc.
EKG.V	Cardiocomm Solutions Inc.
ELG.V	Elgin Mining Inc
ELI.V	Elissa Resources Ltd
ELN.V	El Nino Ventures Inc.
ELO.V	Eloro Resources Ltd.
ELS.V	El Tigre Silver Corp
ELT.V	Electra Gold Ltd.
ELY.V	Ely Gold & Minerals Inc.
EM.V	Emperor Minerals Ltd
EMB.V	Emberclear Corp.
EMG.V	Emergeo Solutions Worldwide Inc.
EMI.V	Electric Metals Inc.
EMM.V	Emedia Networks Corporation
EMR.V	Emgold Mining Corporation
EMT.V	Entourage Metals Ltd
EMX.V	Eurasian Minerals Inc
ENA.V	Enablence Technologies Inc.
ENG.V	Energulf Resources Inc.
ENP.V	Enpar Tech Inc.
ENS.V	Enseco Energy Services Corp
ENT.V	Entrec Transporation Services Ltd
ENV.V	Enssolutions Group Inc.
ENW.V	Enwave Corp
EOG.V	Eco Atlantic Oil And Gas Ltd
EOR.V	Enhanced Oil Resources Inc.
EOX.V	Euromax Resources Ltd.
EPC.V	Empire Mining Corp.
EPK.V	Epm Mining Ventures Inc
EPL.V	Eagle Plains Resources Ltd.
EPO.V	Encanto Potash Corp.
EPT.V	Empower Technologies Corp
EPX.H.V	Eshippers Management Ltd.
EPZ.V	Esperanza Resources Corp.
EQT.V	Equitas Resources Corp
EQX.V	Equinox Exploration Corp
ERG.V	Ergoresearch Ltd.
ERL.H.V	Earl Resources Limited
ESE.V	Estec Systems Corp.
ESK.V	Eskay Mining Corp.
ESO.V	Eso Uranium Corp.
ESR.V	Era Carbon Offsets Ltd.
EST.V	Estrella Gold Corporation
ESV.V	Esi Environmental Sensors Inc
ETF.V	Eastfield Resources Ltd.
ETM.V	Elm Tree Minerals Inc
ETR.V	Eacom Timber Corporation
EUK.V	Eureka Resources Inc.
EUO.V	Eurocontrol Technics Group Inc.
EUU.V	European Uranium Resources Ltd
EV.V	Erin Ventures Inc.
EVC.P.V	Everfront Ventures Corp
EVM.V	Evrim Resources Corp
EVR.V	Everton Resources Inc.
EW.V	East West Petroleum Corp
EW.WT.V	East West Petroleum Corp Warrants
EWD.V	Eaglewood Energy Inc.
EWK.V	Earthworks Industries Inc.
EWS.V	Environment Waste Intlinc
EXA.V	Exploration Aurtois Inc
EXC.V	Essex Angel Capital Inc
EXQ.H.V	Exchequer Resource Com Npv
EXS.V	Explor Resources Inc.
EXU.V	Expedition Miining Inc.
EXX.P.V	Equitorial Capital Corp
EY.V	Extenway Solutions Inc.
EYE.A.V	Eyelogic Systems Inc
EZ.V	Encore Renaissance Resources Corp.
FAB.V	Flying A Petroleum Ltd
FAM.V	Family Memorials Inc.
FAU.V	Fire River Gold Corp.
FAV.P.V	Focused Capital Ii Corp
FBI.V	Franchise Bancorp Inc.
FBR.H.V	Fibre-Crown Manufacturing  Inc.
FBX.V	First Bauxite Corporation
FCV.V	Focus Ventures Ltd.
FDC.V	Forum Uranium Corp
FDG.V	Fdg Mining Inc
FDN.V	Foundation Resources Inc.
FDR.V	Flinders Resources Limited
FEB.V	Functional Technologies Corp.
FEC.V	Fairwest Energy Corporation
FED.V	Ethiopian Potash Corp
FED.WT.V	Ethiopian Potash Corp Warrants
FEE.V	Free Energy International Inc
FEM.V	Ferrum Americas Mining Inc
FEN.V	Forent Energy Ltd.
FEO.V	Oceanic Iron Ore Corp
FEO.WT.A.V	Oceanic Iron Ore Corp Wts A
FEO.WT.B.V	Oceanic Iron Ore Corp Wts B
FEX.V	Fjordland Exploration Inc
FFF.P.V	Frontier Acquisition Corp
FFM.V	Formation Fluid Management Inc
FFP.V	Cons Firstfund Capital Corp.
FG.V	Chesstown Capital Inc
FGC.V	Frontline Gold Corporation
FGE.V	Forest Gate Energy Inc.
FGR.V	First Graphite Corp
FIS.V	Fission Energy Corp.
FIX.V	Firebird Resources Inc
FKS.P.V	Folkstone Capital Corp
FLA.V	Fairmile Goldtech Inc.
FLC.V	Frontline Technologies Inc
FLK.V	Falkirk Resources Corp.
FLX.V	Fieldex Exploration Inc.
FMG.V	First Mexican Gold Corp.
FMM.V	Full Metal Minerals Ltd
FMR.V	Fairmont Resources Inc
FMS.V	Focus Metals Inc.
FMS.WT.V	Focus Metals Inc Wts
FMX.V	First Mountain Exploration Ltd
FNC.V	Fancamp Exploration Ltd.
FNR.V	49 North Resources Inc.
FO.V	Falcon Oil & Gas Ltd
FOM.V	Foran Mining Corporation
FPX.V	First Point Minerals Corp
FRI.V	Freeport Resources Inc.
FRN.V	Feronia Inc
FRN.WT.V	Feronia Inc New
FS.V	First Star Resources Inc
FSH.V	Agrimarine Holdings Inc.
FSI.V	Fsi Energy Services Inc.
FSM.V	Fortunate Sun Mining Company Ltd
FSN.V	Franchise Services Of North Ame
FST.V	Fortress Minerals Corp
FSW.V	Fireswirltechnologies Inc.
FTI.V	Fti Foodtech International Inc.
FTJ.V	Fort St James Nickel Corp
FTR.V	Firesteel Resources Inc
FUT.V	The Futura Loyalty Group Inc.
FV.V	Firestone Ventures Inc
FVR.V	Finavera Wind Energy Inc
FWK.V	Liuyang Fireworks Limited
FYI.V	Galena Capital Corp
